Unnamed: 0,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,DOBMissing,TrainingBeforeStart,SurveyBeforeStart
16,Kristen,Tate,2021-04-05,2023-05-12,Area Sales Manager,Lauren Jones,kristen.tate@bilearner.com,WBL,Active,Full-Time,Zone C,Part-Time,Voluntary,Wall body wonder successful.,IT/IS,Project Management - Con,1994-08-04,KY,Coordinator,Male,2621,Asian,Widowed,Fully Meets,3,3443,2023-04-29,2,2,4,2023-02-18,Technical Skills,External,Failed,East Katie,Gary Thornton,3,402.13,False,False,False
17,Bobby,Rodgers,2021-11-28,2022-02-04,Area Sales Manager,Matthew Jackson,bobby.rodgers@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,1983-11-15,KY,Director,Male,44553,Other,Widowed,Fully Meets,3,3444,2022-12-14,1,2,4,2022-11-02,Technical Skills,External,Failed,Jacobburgh,William Willis,2,388.84,False,False,False
18,Reid,Park,2021-01-16,,Area Sales Manager,Michelle Mitchell,reid.park@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,1985-07-12,KY,Supervisor,Female,5360,Other,Married,Exceeds,4,3445,2023-05-07,4,5,2,2023-07-14,Project Management,External,Completed,Ryanmouth,Andre Wu,2,879.64,False,False,False
19,Hector,Dalton,2021-08-24,,Area Sales Manager,Sydney French,hector.dalton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Field Operations,1996-01-05,TX,Driller,Female,16325,White,Divorced,Exceeds,2,3446,2023-05-21,4,3,5,2022-12-11,Technical Skills,Internal,Failed,South John,Olivia Holland,5,701.13,False,False,False
20,Mariela,Schultz,2020-05-26,2023-06-18,Area Sales Manager,Michelle Evans MD,mariela.schultz@bilearner.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Involuntary,Unit pass office southern break one.,Sales,General - Con,,TX,Technician,Female,43481,Asian,Widowed,Fully Meets,3,3447,2023-05-08,5,1,4,2023-04-02,Customer Service,Internal,Incomplete,Kristenton,Kimberly Doyle,3,353.21,True,False,False
21,Angela,Molina,2019-10-01,2020-11-06,Area Sales Manager,Patricia Cook,angela.molina@bilearner.com,SVG,Future Start,Full-Time,Zone A,Temporary,Retirement,List class mind.,Sales,Engineers,1958-12-05,TX,Specialist,Male,50705,Asian,Widowed,Fully Meets,3,3448,2023-03-28,5,1,5,2023-05-16,Communication Skills,Internal,Completed,West Jamesview,Lindsay Williams,4,911.05,False,False,False
22,Gerald,Preston,2023-05-10,2023-05-27,Area Sales Manager,Ashley Reeves,gerald.preston@bilearner.com,EW,Future Start,Contract,Zone B,Temporary,Involuntary,Price third parent evening.,Sales,General - Eng,,CO,Technician,Male,5168,Black,Single,Fully Meets,5,3449,2023-06-30,3,2,1,2022-10-02,Communication Skills,External,Completed,Josebury,Joseph Faulkner,3,242.21,True,True,False
23,Reilly,Moyer,2020-09-01,2022-12-04,Area Sales Manager,Stanley Harvey,reilly.moyer@bilearner.com,MSC,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,1994-11-08,CO,Operator,Male,11765,Other,Single,Exceeds,2,3450,2023-01-18,4,3,5,2023-01-12,Technical Skills,Internal,Completed,South Benjaminfurt,Laura Davis,4,186.07,False,False,False
24,Carlee,French,2021-02-18,2022-11-11,Area Sales Manager,Michael Bradshaw,carlee.french@bilearner.com,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,General - Con,1968-01-15,CO,Technician,Male,71071,Other,Divorced,Exceeds,3,3451,2023-04-29,5,1,2,2023-03-22,Technical Skills,External,Completed,Duncanview,Betty Williams,1,921.97,False,False,False
25,Jaydon,Blackburn,2022-11-08,,Area Sales Manager,Debbie Crosby,jaydon.blackburn@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Con,1947-07-01,IN,Foreman,Male,12122,Black,Divorced,Fully Meets,2,3452,2023-01-19,5,5,2,2022-09-13,Customer Service,Internal,Failed,Lake Jonathan,Daniel Miller,1,691.04,False,True,False
26,Bridger,Carter,2022-10-13,,Area Sales Manager,Elizabeth Taylor,bridger.carter@bilearner.com,WBL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Fielders,1982-07-04,MA,Engineer,Male,87065,White,Widowed,Fully Meets,4,3453,2022-09-17,5,5,3,2022-08-25,Customer Service,External,Completed,Port Jamesshire,Samantha Hodge,5,964.44,False,True,True
27,Leon,Beard,2022-09-11,,Area Sales Manager,Brian Dunlap,leon.beard@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,IT/IS,General - Con,1970-01-29,KY,Foreman,Male,10415,Hispanic,Married,Needs Improvement,4,3454,2023-03-14,4,4,2,2023-02-07,Communication Skills,Internal,Passed,West Brandon,Jonathan Brady,3,184.9,False,False,False
28,Charity,Miranda,2021-06-29,2022-07-05,Area Sales Manager,Daniel Rodriguez,charity.miranda@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Pm local take example fund. Small heavy listen.,Sales,Project Management - Eng,1999-01-18,KY,Manager,Male,3763,Other,Widowed,Exceeds,4,3455,2022-08-12,2,1,1,2023-03-17,Project Management,External,Passed,Wadefurt,Timothy Moreno,1,220.41,False,False,False
29,Axel,Howe,2023-03-06,,Area Sales Manager,Martin Hammond,axel.howe@bilearner.com,NEL,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Field Operations,1946-09-25,KY,Technician,Female,79623,Black,Divorced,Fully Meets,3,3456,2023-03-30,4,3,4,2023-06-08,Technical Skills,External,Passed,East Aaron,Morgan Wright,2,336.82,False,False,False
30,Milton,Wall,2020-09-25,,Area Sales Manager,Sara Bell,milton.wall@bilearner.com,PL,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Engineers,1947-08-23,KY,Technician,Female,69189,White,Divorced,Needs Improvement,3,3457,2023-04-21,5,1,4,2023-04-15,Customer Service,External,Completed,Williamsbury,Jeremy Garcia,4,485.73,False,False,False
31,Cory,Robinson,2022-04-28,2023-05-24,Area Sales Manager,Elizabeth Anderson,cory.robinson@bilearner.com,BPC,Future Start,Contract,Zone A,Full-Time,Voluntary,Several young whether that expert.,Sales,Field Operations,1996-12-08,TX,Laborer,Female,5194,Hispanic,Single,Needs Improvement,3,3458,2023-02-14,2,5,5,2022-12-02,Communication Skills,Internal,Failed,North Deborahville,Joseph Ward,2,409.27,False,False,False
32,Saniya,Yu,2021-04-18,2022-06-21,Area Sales Manager,Erin Bailey,saniya.yu@bilearner.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Retirement,Science end approach democratic treatment.,Sales,General - Con,1944-09-02,TX,Splicer,Male,8779,Black,Widowed,Exceeds,2,3459,2022-10-26,4,4,3,2023-06-14,Communication Skills,Internal,Passed,Chapmanbury,Joseph Thomas,4,168.32,False,False,False
33,Alisa,James,2020-02-19,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Unk,,Sales,Aerial,1944-10-02,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,3460,2022-11-16,4,3,3,2023-07-08,Communication Skills,External,Incomplete,Paulashire,Willie Hernandez,5,919.52,False,False,False
34,Lincoln,Compton,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Base scene central unit per argue. Might last of.,Sales,General - Con,,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,3461,2023-04-24,1,4,4,2023-01-05,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43,True,False,False
35,Aliana,Nolan,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,1942-09-08,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,3462,2022-11-08,3,3,1,2023-07-19,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01,False,False,False
36,Kayden,Dodson,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Retirement,Paper can score else investment.,Sales,Field Operations,1951-06-21,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,3463,2022-09-18,4,3,4,2022-08-29,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19,False,False,False
37,James,Duke,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Stuff different color how.,Sales,Shop (Fleet),1998-06-17,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,3464,2022-12-29,2,5,3,2022-11-13,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47,False,False,False
38,Willow,Stuart,2021-11-08,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,1962-07-01,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,3465,2023-05-19,5,4,3,2023-06-04,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1,False,False,False
39,Clayton,Walker,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,IT/IS,Aerial,1979-01-26,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,3466,2023-08-04,1,3,4,2022-12-07,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66,False,False,False
40,Celia,Curtis,2020-05-06,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Fielders,1987-05-14,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,3467,2023-06-27,4,3,2,2023-02-24,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7,False,False,False
41,Valentin,Reilly,2019-09-09,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,Unk,,Sales,Wireline Construction,1998-04-26,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,3468,2023-02-05,3,1,3,2023-05-10,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63,False,False,False
42,Ryland,Shepherd,2020-07-29,2023-01-05,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Right cut matter arrive difference.,Sales,Field Operations,,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,3469,2023-08-01,5,5,1,2022-08-15,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54,True,False,False
43,Esteban,Gilbert,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Speak professor statement result.,Sales,Field Operations,,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,3470,2023-05-06,1,2,3,2022-09-26,Project Management,External,Passed,New Molly,Katie Wong MD,1,986.96,True,False,False
44,Jonathan,Adkins,2020-02-29,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,1967-03-01,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,3471,2023-04-30,2,4,1,2023-03-23,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98,False,False,False
45,Nevaeh,Soto,2023-01-15,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,1982-12-01,TX,Director,Male,74124,Other,Married,Exceeds,4,3472,2023-07-26,5,5,4,2023-02-12,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24,False,False,False
46,Chaim,Mata,2023-06-29,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Shop (Fleet),1950-01-10,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,3473,2023-06-28,3,4,4,2022-12-06,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99,False,True,True
47,Arely,Patton,2020-03-09,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Unk,,Sales,Catv,1965-12-16,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,3474,2023-05-09,3,1,2,2022-09-01,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51,False,False,False
48,Vance,Trujillo,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,Resignation,Expert challenge education air none money wide.,Sales,General - Con,1957-12-25,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,3475,2023-01-25,4,3,4,2022-11-02,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76,False,False,False
49,Charlie,Koch,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Buy become improve guess business know.,Sales,Fielders,1945-06-20,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,3476,2023-03-03,5,5,3,2022-11-18,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5,False,True,True
50,Sonny,Horne,2019-04-07,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,IT/IS,Aerial,1969-03-12,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,3477,2022-12-05,1,2,1,2022-11-07,Leadership Development,External,Failed,New Cynthia,Kristin Terry,5,429.48,False,False,False
51,Thomas,Chandler,2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Read family dark scene scene guess.,Sales,Wireline Construction,1957-10-10,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,3478,2022-11-29,3,4,1,2022-10-05,Technical Skills,External,Incomplete,Port Matthew,Daniel Solomon,1,526.74,False,False,False
52,Sarai,Stone,2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Involuntary,Somebody great could yet.,Sales,Project Management - Con,1962-05-17,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,3479,2022-11-03,4,4,4,2023-01-18,Communication Skills,Internal,Passed,Stephanieburgh,Michael Dixon,3,443.45,False,False,False
53,Jerimiah,Harmon,2022-09-08,2022-10-16,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,View vote contain within fight cup party war.,Sales,Catv,1946-09-08,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,3480,2023-07-25,1,5,3,2023-03-02,Leadership Development,External,Failed,North Amyfurt,Robert Hill,1,887.15,False,False,False
54,Leland,Allen,2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Buy house certain wrong research chair.,Sales,Wireline Construction,1965-11-12,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,3481,2023-03-02,5,2,4,2023-05-29,Technical Skills,External,Incomplete,East Charleston,Glenda Ryan,5,758.95,False,False,False
55,Cristal,Bolton,2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Miss onto none our discussion year.,Sales,Catv,1990-11-02,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,3482,2022-10-22,4,5,5,2023-03-03,Technical Skills,Internal,Failed,Saraland,Jennifer Brown,1,627.11,False,False,False
56,Jaslene,Harding,2021-09-26,,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Project Management - Con,1964-06-19,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,3483,2022-10-23,1,4,5,2022-08-10,Project Management,External,Passed,Manuelfort,Cody Adams,4,111.96,False,False,False
57,Albert,Gonzalez,2018-08-29,,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,General - Con,1995-07-18,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4,3484,2022-09-16,1,2,4,2023-06-27,Project Management,External,Passed,Johnsonport,Justin Barton,1,795.7,False,False,False
58,Jaiden,Johnson,2021-10-26,,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,Unk,,Sales,Field Operations,1994-08-22,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5,3485,2023-05-07,2,1,3,2022-08-07,Customer Service,Internal,Passed,Port Bradley,Michael Chase,2,796.45,False,False,False
59,Brendon,Mcconnell,2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Involuntary,Nature finish modern push former American.,Sales,Fielders,1990-11-14,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4,3486,2022-08-27,3,1,1,2023-07-23,Project Management,Internal,Completed,Lake Angelafort,Daniel Jones,5,812.59,False,False,True
60,Kimora,Parsons,2023-03-15,,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,General - Sga,1994-01-02,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4,3487,2022-09-23,5,4,1,2023-07-17,Project Management,External,Completed,Lake Lindsayton,Duane Trevino,5,132.97,False,False,True
61,Willie,Patterson,2022-09-09,,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,Unk,,Sales,Wireline Construction,1997-12-11,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2,3488,2023-03-11,1,5,1,2022-09-20,Communication Skills,Internal,Completed,West Cynthia,Terrence Hopkins,1,308.19,False,False,False
62,Devyn,Powers,2022-03-04,,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Field Operations,1953-02-05,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2,3489,2022-12-03,2,4,5,2023-07-02,Project Management,Internal,Passed,Isabelchester,Brittany Savage,1,131.41,False,False,False
63,Weston,Preston,2019-02-11,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,General - Sga,1991-10-07,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,3490,2022-10-12,5,3,2,2023-07-19,Technical Skills,Internal,Failed,Lake Robertberg,Samantha Williams,3,389.59,False,False,False
64,Lennon,Buchanan,2021-01-26,,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,1973-02-06,TX,Driver,Male,39504,White,Widowed,Fully Meets,5,3491,2022-09-10,3,4,5,2023-07-14,Project Management,Internal,Incomplete,Petersville,Stephen Blair,3,442.56,False,False,False
65,Vicente,Merritt,2019-11-26,,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,General - Con,1993-08-01,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1,3492,2023-01-13,1,5,5,2022-09-06,Project Management,Internal,Incomplete,Christinahaven,Amanda Greene,3,327.66,False,False,False
66,Hugo,Clay,2019-07-15,,Area Sales Manager,Eric Taylor,hugo.clay@bilearner.com,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,1984-04-17,CO,Project Manager,Male,28784,Asian,Widowed,Fully Meets,5,3493,2023-04-02,3,1,5,2023-02-19,Project Management,Internal,Completed,Joelmouth,Cathy Fleming,3,400.95,False,False,False
